基金代码,状态,基金经理姓名,基金经理简介,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,资产规模,跟踪标的
009170（前端）基金类型混合型-灵活,成功,车广路,"车广路先生:中国国籍,副总经理兼投资总监,工商管理学硕士。曾任泰信基金管理有限公司研究员、高级研究员、基金经理。先后担任泰信蓝筹精选股票型证券投资基金基金经理、泰信发展主题股票型证券投资基金基金经理、泰信国策驱动灵活配置混合型证券投资基金基金经理、湘财长源股票型证券投资基金基金经理、湘财长泽灵活配置混合型证券投资基金基金经理、湘财周期轮动一年持有期混合型证券投资基金基金经理、湘财长顺混合型发起式证券投资基金基金经理、湘财长弘灵活配置混合型证券投资基金基金经理、湘财创新成长一年持有期混合型证券投资基金基金经理。现任湘财基金管理有限公司副总经理、投资总监、湘财长兴灵活配置混合型证券投资基金基金经理、湘财成长优选一年持有期混合型证券投资基金基金经理、湘财新能源量化选股混合型证券投资基金基金经理。2025年9月23日起担任湘财长泽灵活配置混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率×60%+上证国债指数收益率×40%,0.2884亿份（截止至：2025年06月30日）,2020年03月23日,湘财长兴灵活配置混合型证券投资基金,浙商银行,湘财长兴灵活配置混合C,湘财基金,混合型-灵活,车广路,2020年04月23日 / 7.909亿份,每份累计0.00元（0次）,0.24亿元（截止至：2025年06月30日）份额规模0.2884亿份（截止至：2025年06月30日）,该基金无跟踪标的
169101（主代码）基金类型混合型-灵活,成功,刘辉,"刘辉先生:硕士,自2006年2月至2008年3月在华泰证券股份有限公司研究所担任研究员,2008年3月至2009年10月在东吴基金管理有限公司研究部担任高级研究员,2009年10月至2013年12月在汇丰晋信基金管理有限公司历任高级研究员、基金经理、权益投资部助理总监、助理投资总监,2013年12月至2015年6月在嘉实基金管理有限公司担任资深基金经理,2015年6月起加入上投摩根基金管理有限公司,任高级基金经理兼国内权益投资一部总监助理。2016年1月至2022年6月任上投摩根内需动力混合型证券投资基金基金经理。曾任上投摩根成长动力混合型证券投资基金基金经理。2023年2月4日东方红睿丰灵活配置混合型证券投资基金(LOF)的基金经理。",0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*70%+中国债券总指数收益率*30%,13.0261亿份（截止至：2025年06月30日）,2014年08月25日,东方红睿丰灵活配置混合型证券投资基金(LOF),招商银行,东方红睿丰混合,东方红资产管理,混合型-灵活,刘辉,2014年09月19日 / 16.102亿份,每份累计0.90元（4次）,17.51亿元（截止至：2025年06月30日）份额规模13.0261亿份（截止至：2025年06月30日）,该基金无跟踪标的
012697（前端）基金类型股票型,成功,陈宗超,"陈宗超先生:中国国籍,硕士。曾任中芯国际资深芯片研发工程师、超威半导体资深芯片研发工程师、国泰君安研究所分析师、上海盛宇股权投资基金管理有限公司投资经理、上海鼎锋明德资产管理有限公司研究总监、南京龙骏投资管理有限公司投资总监、富晨杰芯(天津)科技信息咨询合伙企业投资总监等职。2020年6月加入同泰基金管理有限公司,现任投资研究部行业研究副总监兼基金经理。2021年7月27日起担任同泰数字经济主题股票型证券投资基金基金经理。2023年4月7日起担任同泰行业优选股票型证券投资基金基金经理。现任同泰慧利混合型证券投资基金基金经理。2025年5月12日担任同泰新能源优选1年持有期股票型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证沪港深数字经济主题指数收益率*80%+中证全债指数收益率*20%,1.6227亿份（截止至：2025年09月30日）,2021年07月07日,同泰数字经济主题股票型证券投资基金,国投证券,同泰数字经济股票C,同泰基金,股票型,陈宗超,2021年07月26日 / 2.346亿份,每份累计0.00元（0次）,1.83亿元（截止至：2025年09月30日）份额规模1.6227亿份（截止至：2025年09月30日）,该基金无跟踪标的
012201（前端）基金类型混合型-灵活,成功,王永明,"王永明先生:中国国籍,经济学博士。历任西南证券资产管理部研究员、恒泰证券研发中心经理、上海名禹资产管理有限公司研究总监、上海尚阳投资管理有限公司投资总监。2016年11月加入新华基金管理股份有限公司。2019年10月24日至2024年12月27日担任新华积极价值灵活配置混合型证券投资基金基金经理。2017年2月至2020年2月26日任新华鑫动力灵活配置混合型证券投资基金基金经理。2020年9月28日担任新华鑫弘灵活配置混合型证券投资基金基金经理。2021年2月19日至2022年6月23日任新华灵活主题混合型证券投资基金基金经理。现任新华鑫科技3个月滚动持有灵活配置混合型证券投资基金基金经理。2021年11月1日起任新华中小市值优选混合型证券投资基金基金经理。2021年12月30日至2023年7月17日担任新华安康多元收益一年持有期混合型证券投资基金基金经理。2023年11月23日至2024年12月31日担任新华景气行业混合型证券投资基金基金经理。2024年12月27日担任新华科技创新主题灵活配置混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.50%（每年）,中证科技100指数收益率*60%+中债综合指数(总财富)收益率*30%+恒生指数收益率*10%,0.3167亿份（截止至：2025年06月30日）,2021年05月10日,新华鑫科技3个月滚动持有灵活配置混合型证券投资基金,华夏银行,新华鑫科技3个月滚动持有灵活配置混合C,新华基金,混合型-灵活,王永明,2021年05月26日 / 7.289亿份,每份累计0.00元（0次）,0.26亿元（截止至：2025年06月30日）份额规模0.3167亿份（截止至：2025年06月30日）,该基金无跟踪标的
002158（前端）基金类型混合型-灵活,成功,李超,"李超先生:中国,研究生学历、硕士学位,2013年至2019年历任创金合信基金研究员,安邦资产管理有限责任公司研究员、投资经理助理、投资经理,国金基金管理有限公司基金经理(拟任)等,2019年7月至2021年7月任大家资产管理有限责任公司高级投资经理。2021年7月至2022年3月任汇添富基金管理有限公司专户投资经理。2022年03月07日至2024年9月25日担任汇添富稳健添盈一年持有期混合型证券投资基金基金经理、2022年03月07日汇添富稳健添益一年持有期混合型证券投资基金基金经理。2022年5月25日至2024年04月03日担任汇添富双利增强债券型证券投资基金基金经理。2022年10月21日担任汇添富安鑫智选灵活配置混合型证券投资基金基金经理。2022年12月12日担任汇添富稳健汇盈一年持有期混合型证券投资基金基金经理。曾任汇添富双颐债券型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.90%（每年）,0.40%（每年）,沪深300指数收益率*50%+中债综合指数收益率*50%,0.0287亿份（截止至：2025年06月30日）,2015年11月23日,汇添富安鑫智选灵活配置混合型证券投资基金,工商银行,汇添富安鑫智选混合C,汇添富基金,混合型-灵活,李超,2015年11月26日 / 24.062亿份,每份累计0.34元（6次）,0.02亿元（截止至：2025年06月30日）份额规模0.0287亿份（截止至：2025年06月30日）,该基金无跟踪标的
007817（前端）基金类型指数型-股票,成功,艾小军,"艾小军先生:中国国籍,硕士研究生,2001年5月至2006年9月在华安基金管理有限公司任量化分析师;2006年9月至2007年8月在汇丰晋信基金管理有限公司任应用分析师;2007年9月至2007年10月在平安资产管理有限公司任量化分析师;2007年10月加入国泰基金,历任金融工程分析师、高级产品经理和基金经理助理。2014年1月起任国泰黄金交易型开放式证券投资基金、上证180金融交易型开放式指数证券投资基金、国泰上证180金融交易型开放式指数证券投资基金联接基金的基金经理,2015年3月至2020年12月任国泰深证TMT50指数分级证券投资基金的基金经理,2015年4月至2021年1月任国泰沪深300指数证券投资基金的基金经理,2016年4月起兼任国泰黄金交易型开放式证券投资基金联接基金的基金经理,2016年7月起兼任国泰中证军工交易型开放式指数证券投资基金和国泰中证全指证券公司交易型开放式指数证券投资基金的基金经理,2017年3月至2017年5月任国泰保本混合型证券投资基金的基金经理,2017年3月至2018年12月任国泰策略收益灵活配置混合型证券投资基金的基金经理,2017年3月起兼任国泰国证航天军工指数证券投资基金(LOF)的基金经理,2017年4月起兼任国泰中证申万证券行业指数证券投资基金(LOF)的基金经理,2017年5月至2023年9月任国泰策略价值灵活配置混合型证券投资基金(由国泰保本混合型证券投资基金变更而来)的基金经理,2017年5月至2018年7月任国泰量化收益灵活配置混合型证券投资基金的基金经理,2017年8月起至2019年5月任国泰宁益定期开放灵活配置混合型证券投资基金的基金经理,2018年5月至2022年3月任国泰量化成长优选混合型证券投资基金的基金经理,2018年5月至2019年7月任国泰量化价值精选混合型证券投资基金的基金经理,2018年8月至2019年4月任国泰结构转型灵活配置混合型证券投资基金的基金经理,2018年12月至2019年3月任国泰量化策略收益混合型证券投资基金(由国泰策略收益灵活配置混合型证券投资基金变更而来)的基金经理,2019年4月至2019年11月任国泰沪深300指数增强型证券投资基金(由国泰结构转型灵活配置混合型证券投资基金变更而来)的基金经理,2019年5月至2019年11月任国泰中证500指数增强型证券投资基金(由国泰宁益定期开放灵活配置混合型证券投资基金变更注册而来)的基金经理,2019年5月起兼任国泰CES半导体芯片行业交易型开放式指数证券投资基金(由国泰CES半导体行业交易型开放式指数证券投资基金更名而来)的基金经理,2019年7月至2021年1月任上证5年期国债交易型开放式指数证券投资基金和上证10年期国债交易型开放式指数证券投资基金的基金经理,2019年7月起兼任国泰中证计算机主题交易型开放式指数证券投资基金的基金经理,2019年8月起兼任国泰中证全指通信设备交易型开放式指数证券投资基金的基金经理,2019年9月起兼任国泰中证全指通信设备交易型开放式指数证券投资基金发起式联接基金的基金经理,2020年12月起兼任国泰中证计算机主题交易型开放式指数证券投资基金联接基金(由国泰深证TMT50指数分级证券投资基金转型而来)的基金经理,2021年5月起兼任国泰中证全指证券公司交易型开放式指数证券投资基金发起式联接基金的基金经理,2023年5月起兼任纳斯达克100交易型开放式指数证券投资基金和国泰标普500交易型开放式指数证券投资基金(QDII)的基金经理,2023年7月起兼任国泰中证半导体材料设备主题交易型开放式指数证券投资基金的基金经理。2017年7月起任投资总监(量化)、金融工程总监。",0.10%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.50%（每年）,0.00%（每年）,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,1.3695亿份（截止至：2025年06月30日）,2019年08月27日,国泰中证全指通信设备交易型开放式指数证券投资基金发起式联接基金,工商银行,国泰中证全指通信设备ETF联接A,国泰基金,指数型-股票,艾小军,2019年09月03日 / 0.142亿份,每份累计0.00元（0次）,1.98亿元（截止至：2025年06月30日）份额规模1.3695亿份（截止至：2025年06月30日）,中证全指通信设备指数
018495（前端）基金类型股票型,成功,李进,"李进先生:中国国籍,清华大学工学博士,2017年7月加入融通基金管理有限公司,担任行业研究员。2023年3月6日任融通产业趋势臻选股票型证券投资基金基金经理。2023年9月2日担任融通价值趋势混合型证券投资基金基金经理。2024年10月18日担任融通产业趋势股票型证券投资基金基金经理。2025年9月6日起任融通行业景气证券投资基金的基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+中证香港100指数收益率*10%+中债综合全价(总值)指数收益率*10%,10.2822亿份（截止至：2025年09月30日）,2020年07月30日,融通产业趋势臻选股票型证券投资基金,建设银行,融通产业趋势臻选股票C,融通基金,股票型,李进,2023年05月18日 / --,每份累计0.00元（0次）,20.79亿元（截止至：2025年09月30日）份额规模10.2822亿份（截止至：2025年09月30日）,该基金无跟踪标的
013311（前端）基金类型指数型-股票,成功,徐猛,"徐猛先生:清华大学工学硕士。曾任财富证券助理研究员,原中关村证券研究员等。2006年2月加入华夏基金管理有限公司,历任数量投资部基金经理助理,上证原材料交易型开放式指数发起式证券投资基金基金经理(2016年1月29日至2016年3月28日期间)、华夏沪港通恒生交易型开放式指数证券投资基金基金经理(2015年3月12日至2021年2月1日期间)、华夏沪港通恒生交易型开放式指数证券投资基金联接基金基金经理(2015年3月12日至2021年2月1日期间)、上证金融地产交易型开放式指数发起式证券投资基金基金经理(2013年4月8日至2021年7月19日期间)、华夏创业板交易型开放式指数证券投资基金基金经理(2017年12月8日至2021年7月19日期间)、战略新兴成指交易型开放式指数证券投资基金基金经理(2018年7月13日至2021年7月19日期间)、华夏创业板交易型开放式指数证券投资基金发起式联接基金基金经理(2018年8月14日至2021年7月19日期间)、战略新兴成指交易型开放式指数证券投资基金发起式联接基金基金经理(2019年6月5日至2021年7月19日期间)、华夏中小企业100交易型开放式指数基金发起式联接基金基金经理(2018年9月10日至2021年9月10日期间)、中小企业100交易型开放式指数基金基金经理(2016年12月1日至2025年5月21日期间)等,现任投委会成员,恒生交易型开放式指数证券投资基金联接基金基金经理(2015年12月21日起任职)、恒生交易型开放式指数证券投资基金基金经理(2015年12月21日起任职)、华夏上证50交易型开放式指数证券投资基金联接基金基金经理(2016年12月1日起任职)、上证50交易型开放式指数证券投资基金基金经理(2020年3月6日起任职)、华夏中证细分食品饮料产业主题交易型开放式指数证券投资基金基金经理(2020年12月30日起任职)、华夏恒生互联网科技业交易型开放式指数证券投资基金(QDII)基金经理(2021年1月26日起任职)、华夏恒生中国企业交易型开放式指数证券投资基金(QDII)基金经理(2021年2月1日起任职)、华夏中证沪港深500交易型开放式指数证券投资基金基金经理(2021年4月7日起任职)、华夏恒生科技交易型开放式指数证券投资基金(QDII)基金经理(2021年5月18日起任职)、华夏中证科创创业50交易型开放式指数证券投资基金基金经理(2021年6月24日起任职)、华夏中证金融科技主题交易型开放式指数证券投资基金基金经理(2021年7月13日起任职)、华夏中证科创创业50交易型开放式指数证券投资基金发起式联接基金基金经理(2021年8月24日起任职)、华夏中证动漫游戏交易型开放式指数证券投资基金发起式联接基金基金经理(2021年8月31日至2025年9月9日任职)、华夏恒生互联网科技业交易型开放式指数证券投资基金发起式联接基金(QDII)基金经理(2021年9月14日起任职)、华夏恒生科技交易型开放式指数证券投资基金发起式联接基金(QDII)基金经理(2021年9月28日起任职)、华夏中证细分食品饮料产业主题交易型开放式指数证券投资基金发起式联接基金基金经理(2021年10月26日起任职)、华夏中证沪港深500交易型开放式指数证券投资基金发起式联接基金基金经理(2022年12月28日起任职)、华夏恒生中国企业交易型开放式指数证券投资基金发起式联接基金(QDII)基金经理(2023年7月18日起任职)、华夏中证金融科技主题交易型开放式指数证券投资基金发起式联接基金(2025年6月10日起任职)基金经理。曾任华夏中证动漫游戏交易型开放式指数证券投资基金基金经理。",0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.15%（每年）,0.30%（每年）,中证科创创业50指数收益率*95%+人民币活期存款税后利率*5%,3.0593亿份（截止至：2025年06月30日）,2021年08月09日,华夏中证科创创业50交易型开放式指数证券投资基金发起式联接基金,中国银行,华夏科创创业50ETF联接C,华夏基金,指数型-股票,徐猛,2021年08月24日 / 7.371亿份,每份累计0.00元（0次）,1.98亿元（截止至：2025年06月30日）份额规模3.0593亿份（截止至：2025年06月30日）,中证科创创业50指数
012901（前端）基金类型指数型-股票,成功,文雨,"文雨女士:中国国籍,研究生、硕士。2017年7月至2019年10月在上海申银万国证券研究所有限公司工作,任金融工程部助理分析师、分析师;2019年10月加入招商基金管理有限公司,曾任量化投资部研究员、高级研究员。2025年3月14日起担任招商中证1000增强策略交易型开放式指数证券投资基金基金经理。2025年4月23日任招商创业板指数增强型证券投资基金、招商中证全指证券公司指数证券投资基金基金经理。2025年7月1日担任招商沪深300增强策略交易型开放式指数证券投资基金基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,创业板指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.4257亿份（截止至：2025年06月30日）,2021年10月11日,招商创业板指数增强型证券投资基金,中国银河,招商创业板指数增强C,招商基金,指数型-股票,文雨,2021年11月16日 / 2.890亿份,每份累计0.00元（0次）,0.89亿元（截止至：2025年06月30日）份额规模1.4257亿份（截止至：2025年06月30日）,创业板指数(价格)
008315（前端）基金类型股票型,成功,李德辉,"李德辉先生:中国国籍,上海交通大学生物医学工程博士,曾任农银汇理基金管理有限公司研究员。2014年8月起加入摩根基金管理(中国)有限公司(原上投摩根基金管理有限公司),历任研究员、行业专家兼基金经理助理、基金经理、高级基金经理,现任资深基金经理。自2016年11月起担任上投摩根科技前沿灵活配置混合型证券投资基金基金经理。自2018年3月至2019年7月同时担任上投摩根安全战略股票型证券投资基金基金经理及上投摩根双核平衡混合型证券投资基金基金经理,自2018年6月15日至2025年5月29日担任上投摩根卓越制造股票型证券投资基金基金经理,自2019年3月起同时担任上投摩根智选30混合型证券投资基金基金经理。2020年1月22日担任上投摩根慧选成长股票型证券投资基金基金经理。2020年9月起担任上投摩根慧见两年持有期混合型证券投资基金基金经理。2025年5月29日担任摩根智慧互联股票型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,中证800指数收益率*75%+中证港股通指数收益率*10%+上证国债指数收益率*15%,1.8355亿份（截止至：2025年06月30日）,2019年12月25日,摩根慧选成长股票型证券投资基金,中国银行,摩根慧选成长股票C,摩根基金(中国),股票型,李德辉,2020年01月22日 / 37.271亿份,每份累计0.00元（0次）,2.15亿元（截止至：2025年06月30日）份额规模1.8355亿份（截止至：2025年06月30日）,该基金无跟踪标的
004263（前端）基金类型混合型-灵活,成功,陆秋渊,"陆秋渊女士:复旦大学硕士,2007年5月应届毕业生加入华安基金,历任全球投资部研究员、投资经理。2017年6月30日起担任华安沪港深机会灵活配置混合型证券投资基金基金经理。2018年9月至2018年10月担任华安安禧保本混合型证券投资基金的基金经理。2018年10月至2021年8月16日担任华安安禧灵活配置混合型证券投资基金的基金经理。2018年10月起,同时担任华安核心优选混合型证券投资基金的基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,---（每年）,30%×中证800指数收益率+30%×恒生综合指数收益率+40%×中国债券总指数收益率,4.9916亿份（截止至：2025年06月30日）,2017年04月10日,华安沪港深机会灵活配置混合型证券投资基金,工商银行,华安沪港深机会灵活配置混合,华安基金,混合型-灵活,陆秋渊、盛骅,2017年05月10日 / 2.331亿份,每份累计0.21元（3次）,8.87亿元（截止至：2025年06月30日）份额规模4.9916亿份（截止至：2025年06月30日）,该基金无跟踪标的
001618（前端）基金类型指数型-股票,成功,洪明华,"洪明华先生:计算机应用技术硕士,2008年5月至2010年10月朗讯科技(中国)有限公司软件工程师;2010年11月至2014年8月路孚特(中国)科技有限公司(原路通世纪(中国)科技有限公司)高级软件工程师;2014年8月至2016年10月嘉实基金管理有限公司高级软件工程师;2016年10月加盟天弘基金管理有限公司,历任指数与数量投资部资深数据研究员,现任天弘创业板交易型开放式指数证券投资基金联接基金基金经理、天弘创业板交易型开放式指数证券投资基金基金经理、天弘中证芯片产业交易型开放式指数证券投资基金基金经理、天弘中证计算机主题交易型开放式指数证券投资基金基金经理、天弘中证计算机主题交易型开放式指数证券投资基金联接基金基金经理、天弘中证芯片产业交易型开放式指数证券投资基金发起式联接基金基金经理。2025年07月30日任天弘中证半导体材料设备主题指数型发起式证券投资基金基金经理、天弘中证沪港深云计算产业交易型开放式指数证券投资基金基金经理、天弘中证人工智能主题指数型发起式证券投资基金基金经理。2025年09月23日起担任天弘国证港股通科技指数证券投资基金基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,中证电子指数收益率×95%+银行活期存款利率(税后)×5%,4.5946亿份（截止至：2025年06月30日）,2015年07月28日,天弘中证电子交易型开放式指数证券投资基金联接基金,国泰海通,天弘中证电子ETF联接C,天弘基金,指数型-股票,洪明华,2015年07月29日 / 0.100亿份,每份累计0.00元（0次）,6.22亿元（截止至：2025年06月30日）份额规模4.5946亿份（截止至：2025年06月30日）,中证电子指数
018730（前端）基金类型混合型-偏股,成功,钟帅,"钟帅先生:经济学硕士。曾任华夏基金管理有限公司研究员、基金经理助理;天风证券股份有限公司首席金融分析师。2018年10月加入华夏基金管理有限公司,历任股票投资部基金经理助理,现任华夏行业景气混合型证券投资基金基金经理(2020年7月28日起任职)、华夏远见成长一年持有期混合型证券投资基金基金经理(2022年9月20日起任职)、华夏招鑫鸿瑞混合型证券投资基金基金经理(2024年1月16日起任职)、华夏卓越成长混合型证券投资基金基金经理(2025年8月12日起任职)。",0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,0.6402亿份（截止至：2025年06月30日）,2023年10月17日,华夏招鑫鸿瑞混合型证券投资基金,招商银行,华夏招鑫鸿瑞混合A,华夏基金,混合型-偏股,钟帅,2024年01月16日 / 4.743亿份,每份累计0.00元（0次）,1.00亿元（截止至：2025年06月30日）份额规模0.6402亿份（截止至：2025年06月30日）,该基金无跟踪标的
002233（前端）基金类型混合型-灵活,成功,郭雪松,"郭雪松先生:中国,硕士研究生。先后在国家统计局担任副主任科员,在安信证券担任高级宏观分析师。2018年加入工银瑞信,任固定收益部高级研究员、资产配置研究组负责人、基金经理。2019年9月16日至今,担任工银瑞信丰收回报灵活配置混合型证券投资基金基金经理。2020年6月11日至今,担任工银瑞信银和利混合型证券投资基金基金经理。2021年2月25日至今,担任工银瑞信添福债券型证券投资基金基金经理,2021年8月10日至2023年3月29日担任工银瑞信聚安混合型证券投资基金基金经理。2021年9月13日至2023年3月29日,担任工银瑞信聚益混合型证券投资基金基金经理。2021年8月10日至2023年3月29日,担任工银瑞信聚安混合型证券投资基金基金经理。现任工银瑞信泓裕回报混合型证券投资基金基金经理。",0.10%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,0.40%（每年）,0.40%（每年）,30%×沪深300指数收益率+70%×中债综合指数收益率,0.5365亿份（截止至：2025年06月30日）,2015年09月24日,工银瑞信丰收回报灵活配置混合型证券投资基金,广发银行,工银丰收回报灵活配置混合C,工银瑞信基金,混合型-灵活,郭雪松,2015年12月03日 / --,每份累计0.00元（0次）,0.96亿元（截止至：2025年06月30日）份额规模0.5365亿份（截止至：2025年06月30日）,该基金无跟踪标的
009926（前端）基金类型债券型-混合二级,成功,卓若伟,"卓若伟先生:经济学硕士,固定收益部总监/基金经理;2004年7月至2006年9月任职于厦门市商业银行资金营运部,从事债券交易与研究工作;2006年10月至2009年5月就职于建信基金管理有限公司专户投资部,任投资经理;2009年5月起就职于诺安基金管理有限公司,任基金经理助理;2009年9月至2011年12月任诺安增利债券型证券投资基金基金经理;2011年12月加入泰达宏利基金管理有限公司,曾担任固定收益部副总经理、固定收益部总经理、现担任固定收益部总监;2012年5月起担任泰达宏利集利债券型证券投资基金基金经理;2013年3月起担任泰达宏利信用合利定期开放债券型证券投资基金基金经理;2013年6月起担任泰达宏利收益增强债券型证券投资基金(原泰达宏利高票息定期开放债券型证券投资基金)基金经理;2013年11月15日起担任泰达宏利瑞利分级债券型证券投资基金基金经理;2015年6月11日起担任泰达宏利聚利债券型证券投资基金(LOF)基金经理;2015年6月16日起担任泰达宏利风险预算混合型证券投资基金基金经理;2015年6月16日起担任泰达宏利新起点灵活配置混合型证券投资基金基金经理;2016年4月13日起担任泰达宏利多元回报债券型证券投资基金基金经理;2016年6月30日起担任泰达宏利增利灵活配置定期开放混合型证券投资基金基金经理,具有基金从业资格。2017年加入博时基金管理有限公司,曾任投资经理,现任绝对收益投资部投资副总监,拟任博时恒盛一年持有期混合型证券投资基金的基金经理。2020年7月31日至2025年2月6日担任博时恒盛一年持有期混合型证券投资基金基金经理。博时恒利6个月持有期债券型证券投资基金(2020年9月24日—至今)、博时恒荣一年持有期混合型证券投资基金(2020年9月27日—至今)、博时恒元6个月持有期混合型证券投资基金(2021年3月16日—至今)、博时乐享混合型证券投资基金(2021年5月28日—至今)的基金经理。",0.15%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,0.60%（每年）,0.35%（每年）,中债综合全价(总值)指数收益率×90%+沪深300指数收益率×5%+恒生综合指数收益率×5%,0.01亿份（截止至：2023年07月19日）,2020年07月31日,博时恒利6个月持有期债券型证券投资基金,招商银行,博时恒利6个月持有期债券C,博时基金,债券型-混合二级,卓若伟,2020年09月24日 / 2.744亿份,每份累计0.00元（0次）,0.17亿元（截止至：2023年08月16日）份额规模0.01亿份（截止至：2023年07月19日）,该基金无跟踪标的
010644（前端）基金类型QDII-混合偏股,成功,彭陈晨,"彭陈晨女士:硕士,中国,自2015年7月加入富国基金管理有限公司,历任助理QDII研究员、QDII研究员、QDII投资经理,拟任基金经理。现任富国基金海外权益投资部QDII基金经理。2021年11月19日担任富国全球消费精选混合型证券投资基金(QDII)基金经理。2022年1月13日担任富国全球健康生活主题混合型证券投资基金(QDII)基金经理。2024年12月09日担任富国沪港深价值精选灵活配置混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,---（每年）,中证健康产业指数收益率*45%+中证香港创新药指数收益率*45%+人民币活期存款利率(税后)*10%,2.3663亿份（截止至：2025年06月30日）,2020年12月08日,富国全球健康生活主题混合型证券投资基金(QDII),建设银行,富国全球健康生活主题混合(QDII)人民币A,富国基金,QDII-混合偏股,彭陈晨、王超,2020年12月24日 / 6.702亿份,每份累计0.00元（0次）,2.19亿元（截止至：2025年06月30日）份额规模2.3663亿份（截止至：2025年06月30日）,该基金无跟踪标的
012083（前端）基金类型混合型-偏股,成功,肖瑞瑾,"肖瑞瑾先生:中国国籍,硕士。2012年从复旦大学硕士研究生毕业后加入博时基金管理有限公司。历任研究员、高级研究员、高级研究员兼基金经理助理、资深研究员兼基金经理助理、博时灵活配置混合型证券投资基金(2017年8月1日-2018年3月9日)、博时互联网主题灵活配置混合型证券投资基金(2017年1月5日-2019年6月21日)、博时特许价值混合型证券投资基金(2018年6月21日-2021年4月13日)、博时汇悦回报混合型证券投资基金(2020年2月20日-2021年4月13日)的基金经理、权益投资主题组投资总监助理。现任权益投资四部投资总监助理兼博时回报灵活配置混合型证券投资基金(2017年8月14日—至今)、博时科创主题灵活配置混合型证券投资基金(LOF)(2019年6月27日—2024年7月3日)、博时科技创新混合型证券投资基金(2020年4月15日—2024年7月3日)、博时科创板三年定期开放混合型证券投资基金(2020年7月29日—至今)、博时创业板两年定期开放混合型证券投资基金(2020年9月3日—2021年12月14日)、博时创新精选混合型证券投资基金(2021年3月9日—至今)、博时数字经济18个月封闭运作混合型证券投资基金(2021年6月18日—至今)、博时半导体主题混合型证券投资基金(2021年7月20日—至今)的基金经理。曾任博时消费创新混合型证券投资基金、博时时代消费混合型证券投资基金基金经理、博时沪港深价值优选灵活配置混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合财富(总值)指数收益率*20%,0.6576亿份（截止至：2025年06月30日）,2021年04月22日,博时数字经济混合型证券投资基金,建设银行,博时数字经济混合C,博时基金,混合型-偏股,肖瑞瑾,2021年06月18日 / 7.217亿份,每份累计0.00元（0次）,0.55亿元（截止至：2025年06月30日）份额规模0.6576亿份（截止至：2025年06月30日）,该基金无跟踪标的
