基金代码,状态,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,状态_概况,资产规模,跟踪标的
000270（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.00%（前端）,,,1.00%（每年）,0.00%（每年）,中证2000指数收益率*90%+银行活期存款利率(税后)*10%,1.621亿份（截止至：2025年09月30日）,2013年08月05日,建信灵活配置混合型证券投资基金,民生银行,建信灵活配置混合A,建信基金,混合型-灵活,叶乐天、郭志腾,2013年09月03日 / 11.859亿份,每份累计0.00元（0次）,,2.70亿元（截止至：2025年09月30日）份额规模1.621亿份（截止至：2025年09月30日）,该基金无跟踪标的
019599（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证港股通医药卫生综合指数(经汇率调整)收益率*95%+银行活期存款利率(税后)*5%,0.2962亿份（截止至：2025年06月30日）,2023年10月16日,平安中证港股通医药卫生综合交易型开放式指数证券投资基金联接基金,中信建投,平安中证港股医药ETF联接C,平安基金,指数型-股票,翁欣,2023年10月31日 / 3.531亿份,每份累计0.00元（0次）,,0.32亿元（截止至：2025年06月30日）份额规模0.2962亿份（截止至：2025年06月30日）,中证港股通医药卫生综合港元指数
011452（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+上证国债指数收益率*20%,0.0258亿份（截止至：2025年06月30日）,2020年03月02日,华泰柏瑞质量成长混合型证券投资基金,建设银行,华泰柏瑞质量成长C,华泰柏瑞基金,混合型-偏股,陈文凯,2021年02月19日 / --,每份累计0.00元（0次）,,0.02亿元（截止至：2025年06月30日）份额规模0.0258亿份（截止至：2025年06月30日）,该基金无跟踪标的
003373（前端）基金类型混合型-灵活,成功,0.15%（每年）,,1.20%（前端）,,,0.60%（每年）,0.00%（每年）,沪深300指数收益率*55%+中证综合债券指数收益率*45%,0.1775亿份（截止至：2025年06月30日）,2016年09月26日,大成景禄灵活配置混合型证券投资基金,招商银行,大成景禄灵活配置混合A,大成基金,混合型-灵活,李煜,2016年09月29日 / 8.003亿份,每份累计0.15元（1次）,,0.30亿元（截止至：2025年06月30日）份额规模0.1775亿份（截止至：2025年06月30日）,该基金无跟踪标的
007685（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中信电子元器件指数收益率*80%+中证全债指数收益率*20%,1.16亿份（截止至：2025年06月30日）,2019年09月02日,华商电子行业量化股票型发起式证券投资基金,建设银行,华商电子行业量化股票发起式A,华商基金,股票型,艾定飞,2019年09月17日 / 8.780亿份,每份累计0.00元（0次）,,1.89亿元（截止至：2025年06月30日）份额规模1.16亿份（截止至：2025年06月30日）,该基金无跟踪标的
011043（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率×85%+中证港股通综合指数(人民币)收益率×5%+中证综合债指数收益率×10%,0.3524亿份（截止至：2025年06月30日）,2021年03月01日,国泰价值先锋股票型证券投资基金,中国银行,国泰价值先锋股票C,国泰基金,股票型,王阳、邱晓旭,2021年03月09日 / 20.234亿份,每份累计0.00元（0次）,,0.32亿元（截止至：2025年06月30日）份额规模0.3524亿份（截止至：2025年06月30日）,该基金无跟踪标的
011891（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,3.6592亿份（截止至：2025年06月30日）,2021年09月01日,易方达先锋成长混合型证券投资基金,交通银行,易方达先锋成长混合A,易方达基金,混合型-偏股,武阳,2021年09月23日 / 5.706亿份,每份累计0.00元（0次）,,4.81亿元（截止至：2025年06月30日）份额规模3.6592亿份（截止至：2025年06月30日）,该基金无跟踪标的
952004（前端）基金类型混合型-偏股,成功,0.20%（每年）,,---（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*70%+中债综合指数收益率*30%,5.0789亿份（截止至：2025年06月30日）,2010年01月08日,国泰海通君得明混合型证券投资基金,光大银行,国泰海通君得明混合,国泰海通资管,混合型-偏股,李子波、陈思靖,2019年08月30日 / --,每份累计0.00元（0次）,,11.22亿元（截止至：2025年06月30日）份额规模5.0789亿份（截止至：2025年06月30日）,该基金无跟踪标的
016020（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.40%（每年）,中证电池主题指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.6325亿份（截止至：2025年06月30日）,2022年06月27日,招商中证电池主题交易型开放式指数证券投资基金联接基金,光大证券,招商中证电池主题ETF联接C,招商基金,指数型-股票,许荣漫,2022年07月12日 / 2.068亿份,每份累计0.00元（0次）,,0.89亿元（截止至：2025年06月30日）份额规模1.6325亿份（截止至：2025年06月30日）,中证电池主题指数
009217（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*50%+恒生综合指数收益率*10%+中债综合财富(总值)指数收益率*40%,1.6118亿份（截止至：2025年06月30日）,2020年04月20日,博时荣丰回报灵活配置混合型证券投资基金,建设银行,博时荣丰回报灵活配置混合A,博时基金,混合型-灵活,黄继晨,2020年05月07日 / 3.131亿份,每份累计0.00元（0次）,,1.39亿元（截止至：2025年06月30日）份额规模1.6118亿份（截止至：2025年06月30日）,该基金无跟踪标的
007816（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,中证新兴科技100策略指数收益率×95%+银行活期存款税后利率×5%,0.203亿份（截止至：2025年06月30日）,2019年10月09日,嘉实中证新兴科技100策略交易型开放式指数证券投资基金联接基金,中国银行,嘉实新兴科技100ETF联接C,嘉实基金,指数型-股票,尚可,2019年11月01日 / 3.301亿份,每份累计0.00元（0次）,,0.23亿元（截止至：2025年06月30日）份额规模0.203亿份（截止至：2025年06月30日）,中证新兴科技100策略指数
009056（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证粤港澳大湾区发展主题指数收益率×70%+上证国债指数收益率×30%,0.3477亿份（截止至：2025年06月30日）,2020年04月15日,圆信永丰大湾区主题混合型证券投资基金,建设银行,圆信永丰大湾区C,圆信永丰基金,混合型-偏股,汪萍,2020年05月14日 / 2.186亿份,每份累计0.00元（0次）,,0.51亿元（截止至：2025年06月30日）份额规模0.3477亿份（截止至：2025年06月30日）,该基金无跟踪标的
008397（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.15%（每年）,0.30%（每年）,中证500指数收益率×95%+银行活期存款税后利率×5%,2.4429亿份（截止至：2025年06月30日）,2019年12月12日,博时中证500交易型开放式指数证券投资基金发起式联接基金,招商银行,博时中证500ETF联接C,博时基金,指数型-股票,万琼,2019年12月30日 / 0.379亿份,每份累计0.00元（0次）,,3.27亿元（截止至：2025年06月30日）份额规模2.4429亿份（截止至：2025年06月30日）,中证500指数
008528（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+上证国债指数收益率*20%,3.2533亿份（截止至：2025年06月30日）,2020年03月02日,华泰柏瑞质量成长混合型证券投资基金,建设银行,华泰柏瑞质量成长A,华泰柏瑞基金,混合型-偏股,陈文凯,2020年03月18日 / 14.962亿份,每份累计0.00元（0次）,,2.96亿元（截止至：2025年06月30日）份额规模3.2533亿份（截止至：2025年06月30日）,该基金无跟踪标的
012520（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.10%（每年）,沪深300指数收益率*60%+恒生指数收益率*10%+中证综合债券指数收益率*30%,1.1644亿份（截止至：2025年06月30日）,2021年06月07日,大成核心趋势混合型证券投资基金,中信银行,大成核心趋势混合C,大成基金,混合型-偏股,韩创,2021年06月30日 / 35.450亿份,每份累计0.00元（0次）,,1.27亿元（截止至：2025年06月30日）份额规模1.1644亿份（截止至：2025年06月30日）,该基金无跟踪标的
003032（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证医药卫生指数收益率*60%+中证全债指数收益率*20%+中证港股通医药卫生综合指数收益率(经汇率调整)*20%,7.2452亿份（截止至：2025年09月30日）,2017年10月16日,平安医疗健康混合型证券投资基金,中国银行,平安医疗健康混合A,平安基金,混合型-偏股,周思聪,2017年11月24日 / 2.590亿份,每份累计0.00元（0次）,,20.28亿元（截止至：2025年09月30日）份额规模7.2452亿份（截止至：2025年09月30日）,该基金无跟踪标的
410009（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*75%+中证全债指数收益率*25%,0.1164亿份（截止至：2025年06月30日）,2011年02月28日,华富量子生命力混合型证券投资基金,平安银行,华富量子生命力混合A,华富基金,混合型-偏股,王羿伟,2011年04月01日 / 2.937亿份,每份累计0.10元（1次）,,0.11亿元（截止至：2025年06月30日）份额规模0.1164亿份（截止至：2025年06月30日）,该基金无跟踪标的
012672（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富指数收益率*20%,0.6977亿份（截止至：2025年06月30日）,2021年07月08日,嘉实核心蓝筹混合型证券投资基金,工商银行,嘉实核心蓝筹混合C,嘉实基金,混合型-偏股,肖觅,2021年07月23日 / 20.141亿份,每份累计0.00元（0次）,,0.64亿元（截止至：2025年06月30日）份额规模0.6977亿份（截止至：2025年06月30日）,该基金无跟踪标的
720001（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*60%+上证国债指数收益率*40%,5.1689亿份（截止至：2025年06月30日）,2011年10月27日,财通价值动量混合型证券投资基金,工商银行,财通价值动量混合A,财通基金,混合型-灵活,金梓才,2011年12月01日 / 10.586亿份,每份累计0.47元（5次）,,19.87亿元（截止至：2025年06月30日）份额规模5.1689亿份（截止至：2025年06月30日）,该基金无跟踪标的
020876（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800成长指数收益率*80%+中证港股通综合指数(人民币)收益率*10%+银行活期存款利率(税后)*10%,6.0821亿份（截止至：2025年09月30日）,2024年04月08日,中欧景气精选混合型证券投资基金,华夏银行,中欧景气精选混合A,中欧基金,混合型-偏股,张学明,2024年04月23日 / 11.099亿份,每份累计0.01元（1次）,,10.52亿元（截止至：2025年09月30日）份额规模6.0821亿份（截止至：2025年09月30日）,该基金无跟踪标的
016708（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证细分有色金属产业主题指数收益率*95%+人民币活期存款税后利率*5%,0.1962亿份（截止至：2025年06月30日）,2022年09月26日,华夏中证细分有色金属产业主题交易型开放式指数证券投资基金发起式联接基金,中信银行,华夏有色金属ETF联接C,华夏基金,指数型-股票,单宽之,2022年10月18日 / 0.136亿份,每份累计0.00元（0次）,,0.21亿元（截止至：2025年06月30日）份额规模0.1962亿份（截止至：2025年06月30日）,细分有色
006249（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.15%（每年）,0.30%（每年）,创业板指数收益率*95%+人民币活期存款税后利率*5%,8.014亿份（截止至：2025年06月30日）,2018年08月03日,华夏创业板交易型开放式指数证券投资基金发起式联接基金,中国银行,华夏创业板ETF联接C,华夏基金,指数型-股票,严筱娴,2018年08月14日 / 0.116亿份,每份累计0.26元（3次）,,10.30亿元（截止至：2025年06月30日）份额规模8.014亿份（截止至：2025年06月30日）,创业板指数(价格)
012734（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.15%（每年）,0.10%（每年）,中证人工智能主题指数收益率*95%+活期存款利率(税后)*5%,27.6347亿份（截止至：2025年06月30日）,2021年11月26日,易方达中证人工智能主题交易型开放式指数证券投资基金联接基金,工商银行,易方达中证人工智能主题ETF联接C,易方达基金,指数型-股票,张湛,2022年03月01日 / 2.289亿份,每份累计0.00元（0次）,,31.74亿元（截止至：2025年06月30日）份额规模27.6347亿份（截止至：2025年06月30日）,中证人工智能主题指数
006733（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,0.15%（每年）,0.10%（每年）,创业板指数收益率*95%+银行活期存款税后利率*5%,5.9588亿份（截止至：2025年06月30日）,2011年05月03日,博时创业板交易型开放式指数证券投资基金联接基金,交通银行,博时创业板ETF联接C,博时基金,指数型-股票,尹浩,2018年12月10日 / --,每份累计0.00元（0次）,,11.19亿元（截止至：2025年06月30日）份额规模5.9588亿份（截止至：2025年06月30日）,创业板指数(价格)
004195（前端）基金类型指数型-股票,成功,0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证1000指数收益率×95%+同期银行活期存款利率(税后)×5%,2.9488亿份（截止至：2025年06月30日）,2017年01月17日,招商中证1000指数增强型证券投资基金,中国银行,招商中证1000指数增强C,招商基金,指数型-股票,蔡振,2017年03月03日 / 2.010亿份,每份累计0.00元（0次）,,4.98亿元（截止至：2025年06月30日）份额规模2.9488亿份（截止至：2025年06月30日）,中证1000指数
005787（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,富时中国A600指数*80%+富时中国国债全价指数*20%,1.662亿份（截止至：2025年06月30日）,2007年01月04日,中欧新趋势混合型证券投资基金(LOF),兴业银行,中欧新趋势混合C,中欧基金,混合型-偏股,周蔚文,2018年03月21日 / --,每份累计0.60元（4次）,,1.83亿元（截止至：2025年06月30日）份额规模1.662亿份（截止至：2025年06月30日）,该基金无跟踪标的
018638,失败,,,,,,,,,,,,,,,,,,,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",,
009487（前端）基金类型混合型-偏股,成功,0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.60%（每年）,0.60%（每年）,沪深300指数收益率×70%+中证全债指数收益率×30%,0.0699亿份（截止至：2025年06月30日）,2020年05月07日,光大保德信瑞和混合型证券投资基金,中信银行,光大瑞和混合C,光大保德信基金,混合型-偏股,王明旭,2020年06月29日 / 2.003亿份,每份累计0.00元（0次）,,0.06亿元（截止至：2025年06月30日）份额规模0.0699亿份（截止至：2025年06月30日）,该基金无跟踪标的
011584,失败,,,,,,,,,,,,,,,,,,,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",,
017511（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*70%+中证综合债指数收益率*30%,0.4912亿份（截止至：2025年06月30日）,2020年03月16日,鹏华稳健回报混合型证券投资基金,招商银行,鹏华稳健回报混合C,鹏华基金,混合型-偏股,胡颖,2022年12月07日 / --,每份累计0.00元（0次）,,0.54亿元（截止至：2025年06月30日）份额规模0.4912亿份（截止至：2025年06月30日）,该基金无跟踪标的
001709（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*50%+上证国债指数收益率*50%,0.0639亿份（截止至：2025年06月30日）,2015年12月21日,华富物联世界灵活配置混合型证券投资基金,工商银行,华富物联世界灵活配置混合A,华富基金,混合型-灵活,陈奇,2016年01月21日 / 3.091亿份,每份累计0.00元（0次）,,0.12亿元（截止至：2025年06月30日）份额规模0.0639亿份（截止至：2025年06月30日）,该基金无跟踪标的
021759（前端）基金类型指数型-股票,成功,0.10%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.50%（每年）,0.00%（每年）,中证港股通创新药指数收益率(经估值汇率调整后)*95%+银行活期存款利率(税后)*5%,0.3416亿份（截止至：2025年06月30日）,2024年09月23日,中欧中证港股通创新药指数发起式证券投资基金,招商银行,中欧中证港股通创新药指数发起A,中欧基金,指数型-股票,宋巍巍,2024年09月26日 / 0.100亿份,每份累计0.00元（0次）,,0.48亿元（截止至：2025年06月30日）份额规模0.3416亿份（截止至：2025年06月30日）,中证港股通创新药指数
013179（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）,,,0.50%（每年）,0.00%（每年）,国证新能源车电池指数收益率*95%+活期存款利率(税后)*5%,2.4868亿份（截止至：2025年06月30日）,2021年08月06日,广发国证新能源车电池交易型开放式指数证券投资基金发起式联接基金,工商银行,广发国证新能源车电池ETF联接A,广发基金,指数型-股票,罗国庆,2021年08月16日 / 2.030亿份,每份累计0.00元（0次）,,1.45亿元（截止至：2025年06月30日）份额规模2.4868亿份（截止至：2025年06月30日）,国证新能源车电池指数
202212（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.00%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×50%+中证全债指数收益率×50%,0.809亿份（截止至：2025年06月30日）,2011年05月27日,南方平衡配置混合型证券投资基金,农业银行,南方平衡配置混合,南方基金,混合型-灵活,万朝辉,2011年06月21日 / 49.607亿份,每份累计0.11元（2次）,,1.81亿元（截止至：2025年06月30日）份额规模0.809亿份（截止至：2025年06月30日）,该基金无跟踪标的
011611（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.25%（每年）,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,10.9129亿份（截止至：2025年06月30日）,2021年02月24日,华泰柏瑞上证科创板50成份交易型开放式指数证券投资基金联接基金,建设银行,华泰柏瑞上证科创板50成份ETF联接C,华泰柏瑞基金,指数型-股票,柳军,2021年03月04日 / 5.856亿份,每份累计0.00元（0次）,,8.65亿元（截止至：2025年06月30日）份额规模10.9129亿份（截止至：2025年06月30日）,上证科创板50成份指数
017526（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,北证50成份指数收益率*95%+人民币活期存款税后利率*5%,3.0229亿份（截止至：2025年06月30日）,2022年11月29日,华夏北证50成份指数证券投资基金,光大银行,华夏北证50成份指数C,华夏基金,指数型-股票,李俊,2022年12月28日 / 2.300亿份,每份累计0.00元（0次）,,4.15亿元（截止至：2025年06月30日）份额规模3.0229亿份（截止至：2025年06月30日）,北证50成份指数
018379（前端）基金类型指数型-股票,成功,0.10%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.50%（每年）,0.00%（每年）,国证新能源车电池指数收益率*95%+银行活期存款利率(税后)*5%,0.286亿份（截止至：2025年09月30日）,2023年04月25日,万家国证新能源车电池指数型发起式证券投资基金,恒丰银行,万家国证新能源车电池指数发起式A,万家基金,指数型-股票,李自龙,2023年04月27日 / 0.100亿份,每份累计0.00元（0次）,,0.37亿元（截止至：2025年09月30日）份额规模0.286亿份（截止至：2025年09月30日）,国证新能源车电池指数
001148（前端）基金类型混合型-灵活,成功,0.10%（每年）,,0.60%（前端）,,,0.60%（每年）,0.00%（每年）,50%×沪深300指数收益率 + 50%×中证综合债指数收益率,0.8027亿份（截止至：2025年06月30日）,2015年03月26日,申万菱信多策略灵活配置混合型证券投资基金,华夏银行,申万菱信多策略灵活配置混合A,申万菱信基金,混合型-灵活,梁国柱、高付,2015年03月31日 / 31.068亿份,每份累计0.20元（3次）,,1.68亿元（截止至：2025年06月30日）份额规模0.8027亿份（截止至：2025年06月30日）,该基金无跟踪标的
016486（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,2.5749亿份（截止至：2025年06月30日）,2022年11月08日,中欧成长先锋混合型证券投资基金,中信银行,中欧成长先锋混合C,中欧基金,混合型-偏股,刘伟伟,2022年11月22日 / 11.523亿份,每份累计0.00元（0次）,,2.55亿元（截止至：2025年06月30日）份额规模2.5749亿份（截止至：2025年06月30日）,该基金无跟踪标的
004206（前端）基金类型混合型-灵活,成功,0.10%（每年）,,1.20%（前端）,,,0.60%（每年）,0.00%（每年）,中证800指数收益率*65%+上证国债指数收益率*35%,11.1177亿份（截止至：2025年06月30日）,2017年01月13日,华商元亨灵活配置混合型证券投资基金,国泰海通,华商元亨混合A,华商基金,混合型-灵活,胡中原,2017年01月25日 / 2.103亿份,每份累计0.36元（3次）,,21.70亿元（截止至：2025年06月30日）份额规模11.1177亿份（截止至：2025年06月30日）,该基金无跟踪标的
017547（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）,,,0.60%（每年）,0.00%（每年）,国证2000指数收益率*95%+银行活期存款利率(税后)*5%,0.2465亿份（截止至：2025年06月30日）,2023年03月03日,天弘国证2000指数增强型证券投资基金,农业银行,天弘国证2000指数增强A,天弘基金,指数型-股票,杨超、王帅,2023年03月23日 / 3.061亿份,每份累计0.00元（0次）,,0.27亿元（截止至：2025年06月30日）份额规模0.2465亿份（截止至：2025年06月30日）,国证2000指数
018411（前端）基金类型指数型-股票,成功,0.05%（每年）,,1.00%（前端）,,,0.15%（每年）,0.00%（每年）,中证芯片产业指数收益率*95%+活期存款利率(税后)*5%,1.9371亿份（截止至：2025年06月30日）,2023年05月22日,易方达中证芯片产业交易型开放式指数证券投资基金发起式联接基金,中国银行,易方达芯片ETF联接A,易方达基金,指数型-股票,张湛,2023年06月13日 / 0.358亿份,每份累计0.00元（0次）,,2.17亿元（截止至：2025年06月30日）份额规模1.9371亿份（截止至：2025年06月30日）,中证芯片产业指数
021298（前端）基金类型指数型-股票,成功,0.10%（每年）,,0.80%（前端）,,,0.50%（每年）,0.00%（每年）,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,1.4811亿份（截止至：2025年06月30日）,2024年04月22日,中欧北证50成份指数发起式证券投资基金,招商银行,中欧北证50成份指数发起A,中欧基金,指数型-股票,宋巍巍,2024年05月10日 / 0.107亿份,每份累计0.00元（0次）,,2.94亿元（截止至：2025年06月30日）份额规模1.4811亿份（截止至：2025年06月30日）,北证50成份指数
020704（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）天天基金优惠费率：0.10%（前端）,,,0.50%（每年）,0.00%（每年）,中证通信服务指数收益率*95%+银行活期存款利率(税后)*5%,0.1609亿份（截止至：2025年06月30日）,2024年04月15日,南方中证通信服务交易型开放式指数证券投资基金发起式联接基金,中国银行,南方中证通信服务ETF发起联接A,南方基金,指数型-股票,李佳亮,2024年05月14日 / 1.329亿份,每份累计0.00元（0次）,,0.20亿元（截止至：2025年06月30日）份额规模0.1609亿份（截止至：2025年06月30日）,中证通信服务指数
012551（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,中证电子50指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.2005亿份（截止至：2025年06月30日）,2021年07月13日,华宝中证电子50交易型开放式指数证券投资基金发起式联接基金,建设银行,华宝中证电子50ETF联接C,华宝基金,指数型-股票,蒋俊阳、曹旭辰,2021年07月19日 / 0.377亿份,每份累计0.00元（0次）,,0.17亿元（截止至：2025年06月30日）份额规模0.2005亿份（截止至：2025年06月30日）,中证电子50指数
015031（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*15%+中债综合财富(总值)指数收益率*25%,0.7315亿份（截止至：2025年06月30日）,2022年02月21日,博时远见回报混合型证券投资基金,华夏银行,博时远见回报混合C,博时基金,混合型-偏股,金耀,2022年03月01日 / 2.363亿份,每份累计0.00元（0次）,,0.73亿元（截止至：2025年06月30日）份额规模0.7315亿份（截止至：2025年06月30日）,该基金无跟踪标的
006080,失败,,,,,,,,,,,,,,,,,,,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",,
010415（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*70%+恒生指数收益率(使用估值汇率折算)*20%+上证国债指数收益率*10%,1.512亿份（截止至：2025年06月30日）,2021年03月15日,华泰柏瑞质量精选混合型证券投资基金,建设银行,华泰柏瑞质量精选混合A,华泰柏瑞基金,混合型-偏股,陈文凯,2021年03月31日 / 4.395亿份,每份累计0.00元（0次）,,0.96亿元（截止至：2025年06月30日）份额规模1.512亿份（截止至：2025年06月30日）,该基金无跟踪标的
014130（前端）基金类型指数型-股票,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.00%（每年）,0.40%（每年）,中证云计算与大数据主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,5.4536亿份（截止至：2025年09月30日）,2015年06月18日,融通中证云计算与大数据主题指数证券投资基金(LOF),建设银行,融通中证云计算与大数据主题指数(LOF)C,融通基金,指数型-股票,何天翔、林丽娟,2021年11月30日 / --,每份累计0.00元（0次）,,9.63亿元（截止至：2025年09月30日）份额规模5.4536亿份（截止至：2025年09月30日）,中证云计算与大数据主题指数
019499（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,0.4605亿份（截止至：2025年06月30日）,2024年02月23日,兴证全球创新优势混合型证券投资基金,中信银行,兴证全球创新优势混合C,兴证全球基金,混合型-偏股,邹欣,2024年03月26日 / 9.150亿份,每份累计0.00元（0次）,,0.63亿元（截止至：2025年06月30日）份额规模0.4605亿份（截止至：2025年06月30日）,该基金无跟踪标的
015968（前端）基金类型混合型-偏股,成功,0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证全指半导体产品与设备指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债-综合指数(全价)收益率*20%,17.1685亿份（截止至：2025年06月30日）,2022年09月14日,永赢半导体产业智选混合型发起式证券投资基金,交通银行,永赢半导体产业智选混合发起C,永赢基金,混合型-偏股,张海啸,2022年09月22日 / 0.108亿份,每份累计0.00元（0次）,,20.55亿元（截止至：2025年06月30日）份额规模17.1685亿份（截止至：2025年06月30日）,该基金无跟踪标的
